Country Name,Country Code,Year,Value
Europe & Central Asia (excluding high income),ECA,1960,
Europe & Central Asia (excluding high income),ECA,1961,
Europe & Central Asia (excluding high income),ECA,1962,
Europe & Central Asia (excluding high income),ECA,1963,
Europe & Central Asia (excluding high income),ECA,1964,
Europe & Central Asia (excluding high income),ECA,1965,
Europe & Central Asia (excluding high income),ECA,1966,
Europe & Central Asia (excluding high income),ECA,1967,
Europe & Central Asia (excluding high income),ECA,1968,
Europe & Central Asia (excluding high income),ECA,1969,
Europe & Central Asia (excluding high income),ECA,1970,
Europe & Central Asia (excluding high income),ECA,1971,
Europe & Central Asia (excluding high income),ECA,1972,
Europe & Central Asia (excluding high income),ECA,1973,
Europe & Central Asia (excluding high income),ECA,1974,
Europe & Central Asia (excluding high income),ECA,1975,
Europe & Central Asia (excluding high income),ECA,1976,
Europe & Central Asia (excluding high income),ECA,1977,
Europe & Central Asia (excluding high income),ECA,1978,
Europe & Central Asia (excluding high income),ECA,1979,
Europe & Central Asia (excluding high income),ECA,1980,
Europe & Central Asia (excluding high income),ECA,1981,
Europe & Central Asia (excluding high income),ECA,1982,
Europe & Central Asia (excluding high income),ECA,1983,
Europe & Central Asia (excluding high income),ECA,1984,
Europe & Central Asia (excluding high income),ECA,1985,
Europe & Central Asia (excluding high income),ECA,1986,
Europe & Central Asia (excluding high income),ECA,1987,
Europe & Central Asia (excluding high income),ECA,1988,
Europe & Central Asia (excluding high income),ECA,1989,
Europe & Central Asia (excluding high income),ECA,1990,6980.94867100805
Europe & Central Asia (excluding high income),ECA,1991,6793.68654840596
Europe & Central Asia (excluding high income),ECA,1992,6263.34917228705
Europe & Central Asia (excluding high income),ECA,1993,6051.36647956569
Europe & Central Asia (excluding high income),ECA,1994,5499.63455042338
Europe & Central Asia (excluding high income),ECA,1995,5527.30247887376
Europe & Central Asia (excluding high income),ECA,1996,5614.19113520663
Europe & Central Asia (excluding high income),ECA,1997,5847.97006572729
Europe & Central Asia (excluding high income),ECA,1998,5377.14093599161
Europe & Central Asia (excluding high income),ECA,1999,5551.58459152656
Europe & Central Asia (excluding high income),ECA,2000,6203.85263776466
Europe & Central Asia (excluding high income),ECA,2001,6570.97633810718
Europe & Central Asia (excluding high income),ECA,2002,7046.01315723836
Europe & Central Asia (excluding high income),ECA,2003,7770.14275396842
Europe & Central Asia (excluding high income),ECA,2004,8707.33092660268
Europe & Central Asia (excluding high income),ECA,2005,9777.93807952845
Europe & Central Asia (excluding high income),ECA,2006,11683.5818170487
Europe & Central Asia (excluding high income),ECA,2007,13039.6061905202
Europe & Central Asia (excluding high income),ECA,2008,14967.5498264716
Europe & Central Asia (excluding high income),ECA,2009,14462.0742024807
Europe & Central Asia (excluding high income),ECA,2010,15440.3177200058
Europe & Central Asia (excluding high income),ECA,2011,16995.5782492439
Europe & Central Asia (excluding high income),ECA,2012,18003.2685726995
Europe & Central Asia (excluding high income),ECA,2013,19379.6614758215
Europe & Central Asia (excluding high income),ECA,2014,19755.7703147527
Europe & Central Asia (excluding high income),ECA,2015,19364.4110474723
Europe & Central Asia (excluding high income),ECA,2016,19866.7276571798
Europe & Central Asia (excluding high income),ECA,2017,21128.3628246673
Europe & Central Asia (excluding high income),ECA,2018,22509.5617583955
Europe & Central Asia (excluding high income),ECA,2019,22989.7692598693
Europe & Central Asia (excluding high income),ECA,2020,22664.6753520324
Kazakhstan,KAZ,1960,
Kazakhstan,KAZ,1961,
Kazakhstan,KAZ,1962,
Kazakhstan,KAZ,1963,
Kazakhstan,KAZ,1964,
Kazakhstan,KAZ,1965,
Kazakhstan,KAZ,1966,
Kazakhstan,KAZ,1967,
Kazakhstan,KAZ,1968,
Kazakhstan,KAZ,1969,
Kazakhstan,KAZ,1970,
Kazakhstan,KAZ,1971,
Kazakhstan,KAZ,1972,
Kazakhstan,KAZ,1973,
Kazakhstan,KAZ,1974,
Kazakhstan,KAZ,1975,
Kazakhstan,KAZ,1976,
Kazakhstan,KAZ,1977,
Kazakhstan,KAZ,1978,
Kazakhstan,KAZ,1979,
Kazakhstan,KAZ,1980,
Kazakhstan,KAZ,1981,
Kazakhstan,KAZ,1982,
Kazakhstan,KAZ,1983,
Kazakhstan,KAZ,1984,
Kazakhstan,KAZ,1985,
Kazakhstan,KAZ,1986,
Kazakhstan,KAZ,1987,
Kazakhstan,KAZ,1988,
Kazakhstan,KAZ,1989,
Kazakhstan,KAZ,1990,8265.50740914321
Kazakhstan,KAZ,1991,7557.13205642115
Kazakhstan,KAZ,1992,7325.3140659335
Kazakhstan,KAZ,1993,6833.33060378291
Kazakhstan,KAZ,1994,6188.61293459731
Kazakhstan,KAZ,1995,5921.1203137525
Kazakhstan,KAZ,1996,6152.266221895
Kazakhstan,KAZ,1997,6470.00269555572
Kazakhstan,KAZ,1998,6530.41311634226
Kazakhstan,KAZ,1999,6868.85943069398
Kazakhstan,KAZ,2000,7733.78944277979
Kazakhstan,KAZ,2001,8985.65550061219
Kazakhstan,KAZ,2002,10021.8969616521
Kazakhstan,KAZ,2003,11119.8870659711
Kazakhstan,KAZ,2004,12428.8368274929
Kazakhstan,KAZ,2005,13934.7211410695
Kazakhstan,KAZ,2006,15725.3455018466
Kazakhstan,KAZ,2007,17384.9245216253
Kazakhstan,KAZ,2008,17968.236337141
Kazakhstan,KAZ,2009,17962.8301156342
Kazakhstan,KAZ,2010,19225.0769114856
Kazakhstan,KAZ,2011,20779.4442514491
Kazakhstan,KAZ,2012,22032.1745436853
Kazakhstan,KAZ,2013,24504.7660856694
Kazakhstan,KAZ,2014,24726.4728671586
Kazakhstan,KAZ,2015,23224.1178353573
Kazakhstan,KAZ,2016,23818.8248260141
Kazakhstan,KAZ,2017,24862.9661245889
Kazakhstan,KAZ,2018,26157.6596496269
